TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL2219028,0.5,0.49245904432821336,0.0,0.0,0.549+/-0.03,0.565+/-0.031,0.566+/-0.034,0.577+/-0.097,
CHEMBL2219040,0.5,0.49245904432821336,0.0,0.0,0.783+/-0.108,0.846+/-0.034,0.879+/-0.039,0.874+/-0.065,
CHEMBL2219043,0.5,0.49245904432821336,0.0,0.0,0.732+/-0.036,0.778+/-0.028,0.827+/-0.018,0.801+/-0.097,
CHEMBL2219045,0.494140625,0.48868599468282325,0.0,0.0,0.761+/-0.032,0.79+/-0.033,0.81+/-0.033,0.832+/-0.07,
CHEMBL2219047,0.482421875,0.47776355130602166,0.0,0.0,0.838+/-0.045,0.851+/-0.032,0.876+/-0.026,0.915+/-0.052,
CHEMBL2219049,0.5,0.49245904432821336,0.0,0.0,0.768+/-0.03,0.829+/-0.029,0.881+/-0.031,0.923+/-0.036,
CHEMBL2219050,0.5,0.49245904432821336,0.0,0.0,0.679+/-0.092,0.717+/-0.038,0.722+/-0.039,0.757+/-0.082,
CHEMBL2219059,0.5,0.49245904432821336,0.0,0.0,0.545+/-0.048,0.581+/-0.055,0.584+/-0.034,0.652+/-0.109,
CHEMBL2219070,0.482421875,0.47776355130602166,0.0,0.0,0.829+/-0.051,0.87+/-0.024,0.871+/-0.035,0.914+/-0.074,
CHEMBL2219075,0.5,0.49245904432821336,0.0,0.0,0.927+/-0.02,0.936+/-0.015,0.95+/-0.013,0.961+/-0.03,
CHEMBL2219076,0.494140625,0.48868599468282325,0.0,0.0,0.901+/-0.011,0.904+/-0.029,0.9+/-0.047,0.949+/-0.038,
CHEMBL2219088,0.5,0.49245904432821336,0.0,0.0,0.771+/-0.037,0.818+/-0.029,0.838+/-0.022,0.845+/-0.051,
CHEMBL2219093,0.484375,0.48422477299442246,0.0,0.0,0.738+/-0.053,0.746+/-0.043,0.781+/-0.038,0.791+/-0.1,
CHEMBL2219098,0.482421875,0.47776355130602166,0.0,0.0,0.739+/-0.087,0.81+/-0.025,0.821+/-0.044,0.88+/-0.067,
CHEMBL2219102,0.443359375,0.4459861469402566,0.0,0.0,0.564+/-0.106,0.604+/-0.066,0.638+/-0.033,0.685+/-0.106,
CHEMBL2219104,0.484375,0.48422477299442246,0.0,0.0,0.516+/-0.088,0.6+/-0.054,0.635+/-0.081,0.667+/-0.128,
CHEMBL2219113,0.5,0.49245904432821336,0.0,0.0,0.686+/-0.07,0.722+/-0.08,0.751+/-0.047,0.776+/-0.077,
CHEMBL2219115,0.484375,0.48422477299442246,0.0,0.0,0.713+/-0.117,0.799+/-0.044,0.811+/-0.067,0.855+/-0.086,
CHEMBL2219120,0.494140625,0.48868599468282325,0.0,0.0,0.775+/-0.066,0.811+/-0.031,0.823+/-0.039,0.823+/-0.075,
CHEMBL2219146,0.5,0.49245904432821336,0.0,0.0,0.7+/-0.065,0.71+/-0.029,0.732+/-0.028,0.718+/-0.125,
CHEMBL2219150,0.5,0.49245904432821336,0.0,0.0,0.737+/-0.045,0.74+/-0.02,0.763+/-0.028,0.755+/-0.067,
CHEMBL2219159,0.484375,0.48422477299442246,0.0,0.0,0.688+/-0.082,0.745+/-0.056,0.809+/-0.046,0.852+/-0.039,
CHEMBL2219161,0.5,0.49245904432821336,0.0,0.0,0.738+/-0.044,0.766+/-0.021,0.808+/-0.043,0.863+/-0.053,
CHEMBL2219164,0.5,0.49245904432821336,0.0,0.0,0.878+/-0.019,0.876+/-0.025,0.885+/-0.033,0.915+/-0.054,
CHEMBL2219174,0.5,0.49245904432821336,0.0,0.0,0.683+/-0.036,0.702+/-0.048,0.752+/-0.037,0.814+/-0.078,
CHEMBL2219175,0.4765625,0.47399050166063156,0.0,0.0,0.623+/-0.079,0.678+/-0.032,0.713+/-0.049,0.767+/-0.087,
CHEMBL2219180,0.494140625,0.48868599468282325,0.0,0.0,0.692+/-0.026,0.709+/-0.025,0.751+/-0.061,0.754+/-0.128,
CHEMBL2219189,0.5,0.49245904432821336,0.0,0.0,0.581+/-0.069,0.627+/-0.039,0.647+/-0.051,0.681+/-0.108,
CHEMBL2219191,0.4765625,0.47399050166063156,0.0,0.0,0.694+/-0.059,0.719+/-0.046,0.768+/-0.032,0.785+/-0.056,
CHEMBL2219194,0.482421875,0.47776355130602166,0.0,0.0,0.626+/-0.037,0.642+/-0.044,0.639+/-0.04,0.716+/-0.058,
CHEMBL2219198,0.5,0.49245904432821336,0.0,0.0,0.876+/-0.021,0.878+/-0.02,0.895+/-0.024,0.903+/-0.06,
CHEMBL2219202,0.5,0.49245904432821336,0.0,0.0,0.763+/-0.026,0.763+/-0.03,0.795+/-0.031,0.795+/-0.076,
CHEMBL2219203,0.482421875,0.47776355130602166,0.0,0.0,0.83+/-0.056,0.853+/-0.028,0.851+/-0.023,0.879+/-0.062,
CHEMBL2219208,0.482421875,0.47776355130602166,0.0,0.0,0.746+/-0.058,0.787+/-0.034,0.819+/-0.039,0.87+/-0.06,
CHEMBL2219211,0.484375,0.48422477299442246,0.0,0.0,0.493+/-0.054,0.512+/-0.044,0.505+/-0.043,0.509+/-0.062,
