TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL2219180,0.494140625,0.48868599468282325,0.0,0.0,0.609+/-0.035,0.615+/-0.024,0.614+/-0.027,0.663+/-0.097,
CHEMBL2219189,0.5,0.49245904432821336,0.0,0.0,0.566+/-0.038,0.582+/-0.024,0.565+/-0.021,0.537+/-0.068,
CHEMBL2219191,0.4765625,0.47399050166063156,0.0,0.0,0.562+/-0.031,0.574+/-0.028,0.595+/-0.04,0.572+/-0.08,
CHEMBL2219194,0.482421875,0.47776355130602166,0.0,0.0,0.616+/-0.028,0.618+/-0.025,0.623+/-0.034,0.652+/-0.043,
CHEMBL2219198,0.5,0.49245904432821336,0.0,0.0,0.855+/-0.011,0.854+/-0.009,0.859+/-0.021,0.878+/-0.077,
CHEMBL2219202,0.5,0.49245904432821336,0.0,0.0,0.769+/-0.021,0.767+/-0.02,0.769+/-0.033,0.803+/-0.04,
CHEMBL2219203,0.482421875,0.47776355130602166,0.0,0.0,0.745+/-0.023,0.759+/-0.027,0.754+/-0.061,0.778+/-0.092,
CHEMBL2219208,0.482421875,0.47776355130602166,0.0,0.0,0.711+/-0.017,0.723+/-0.03,0.715+/-0.041,0.75+/-0.093,
CHEMBL2219211,0.484375,0.48422477299442246,0.0,0.0,0.517+/-0.041,0.527+/-0.031,0.511+/-0.04,0.484+/-0.048,
CHEMBL2219223,0.484375,0.48422477299442246,0.0,0.0,0.542+/-0.037,0.543+/-0.031,0.561+/-0.03,0.595+/-0.073,
CHEMBL2219225,0.5,0.49245904432821336,0.0,0.0,0.692+/-0.062,0.721+/-0.026,0.725+/-0.038,0.705+/-0.07,
CHEMBL2219232,0.5,0.49245904432821336,0.0,0.0,0.587+/-0.076,0.631+/-0.035,0.663+/-0.032,0.682+/-0.067,
CHEMBL2219236,0.5,0.49245904432821336,0.0,0.0,0.775+/-0.072,0.81+/-0.014,0.809+/-0.018,0.803+/-0.041,
CHEMBL2219242,0.4375,0.4422130972948666,0.0,0.0,0.579+/-0.046,0.584+/-0.045,0.602+/-0.039,0.632+/-0.102,
CHEMBL2219244,0.494140625,0.48868599468282325,0.0,0.0,0.848+/-0.015,0.858+/-0.025,0.863+/-0.034,0.845+/-0.082,
CHEMBL2219252,0.5,0.49245904432821336,0.0,0.0,0.653+/-0.012,0.649+/-0.025,0.659+/-0.038,0.719+/-0.069,
CHEMBL2219267,0.5,0.49245904432821336,0.0,0.0,0.534+/-0.058,0.539+/-0.051,0.559+/-0.038,0.583+/-0.084,
CHEMBL2219270,0.484375,0.48422477299442246,0.0,0.0,0.492+/-0.038,0.505+/-0.036,0.5+/-0.041,0.545+/-0.099,
CHEMBL2219272,0.5,0.49245904432821336,0.0,0.0,0.827+/-0.02,0.826+/-0.02,0.812+/-0.042,0.83+/-0.069,
CHEMBL2219274,0.494140625,0.48868599468282325,0.0,0.0,0.892+/-0.007,0.892+/-0.017,0.891+/-0.021,0.9+/-0.054,
CHEMBL2219283,0.4609375,0.4606816399624484,0.0,0.0,0.684+/-0.036,0.695+/-0.026,0.702+/-0.042,0.704+/-0.069,
CHEMBL2219286,0.494140625,0.48868599468282325,0.0,0.0,0.833+/-0.015,0.832+/-0.015,0.849+/-0.033,0.889+/-0.087,
CHEMBL2219297,0.482421875,0.47776355130602166,0.0,0.0,0.787+/-0.016,0.795+/-0.019,0.787+/-0.035,0.779+/-0.09,
CHEMBL2219305,0.484375,0.48422477299442246,0.0,0.0,0.613+/-0.034,0.637+/-0.026,0.629+/-0.031,0.675+/-0.112,
CHEMBL2219308,0.5,0.49245904432821336,0.0,0.0,0.791+/-0.012,0.79+/-0.022,0.794+/-0.039,0.803+/-0.089,
CHEMBL2219334,0.484375,0.48422477299442246,0.0,0.0,0.614+/-0.087,0.66+/-0.023,0.655+/-0.047,0.677+/-0.093,
CHEMBL2219335,0.482421875,0.47776355130602166,0.0,0.0,0.562+/-0.051,0.581+/-0.04,0.585+/-0.04,0.615+/-0.078,
CHEMBL2219340,0.494140625,0.48868599468282325,0.0,0.0,0.708+/-0.068,0.726+/-0.019,0.74+/-0.029,0.745+/-0.085,
CHEMBL2219352,0.484375,0.48422477299442246,0.0,0.0,0.485+/-0.037,0.467+/-0.035,0.452+/-0.031,0.484+/-0.05,
CHEMBL2219355,0.494140625,0.48868599468282325,0.0,0.0,0.732+/-0.01,0.728+/-0.022,0.723+/-0.037,0.741+/-0.079,
CHEMBL2219358,0.5,0.49245904432821336,0.0,0.0,0.668+/-0.047,0.698+/-0.031,0.682+/-0.044,0.687+/-0.058,
CHEMBL2219359,0.482421875,0.47776355130602166,0.0,0.0,0.545+/-0.043,0.551+/-0.036,0.566+/-0.043,0.579+/-0.071,
CHEMBL2219363,0.5,0.49245904432821336,0.0,0.0,0.639+/-0.058,0.663+/-0.037,0.677+/-0.042,0.719+/-0.098,
CHEMBL2219366,0.5,0.49245904432821336,0.0,0.0,0.773+/-0.011,0.779+/-0.026,0.781+/-0.01,0.749+/-0.073,
CHEMBL2219375,0.494140625,0.48868599468282325,0.0,0.0,0.572+/-0.019,0.568+/-0.023,0.575+/-0.037,0.576+/-0.069,
CHEMBL2219389,0.5,0.49245904432821336,0.0,0.0,0.804+/-0.018,0.795+/-0.027,0.787+/-0.042,0.846+/-0.085,
CHEMBL2219399,0.4609375,0.4606816399624484,0.0,0.0,0.664+/-0.069,0.683+/-0.024,0.693+/-0.065,0.709+/-0.096,
CHEMBL2219404,0.482421875,0.47776355130602166,0.0,0.0,0.694+/-0.044,0.719+/-0.017,0.705+/-0.043,0.698+/-0.119,
CHEMBL2219407,0.482421875,0.47776355130602166,0.0,0.0,0.64+/-0.013,0.654+/-0.021,0.647+/-0.048,0.62+/-0.102,
CHEMBL2219408,0.4765625,0.47399050166063156,0.0,0.0,0.507+/-0.048,0.557+/-0.054,0.556+/-0.03,0.554+/-0.072,
CHEMBL2354305,0.5,0.5,0.0,0.0,0.578+/-0.059,0.581+/-0.055,0.594+/-0.041,0.593+/-0.063,
CHEMBL3214944,0.5,0.4978231602323461,0.0,0.0,0.521+/-0.043,0.509+/-0.042,0.508+/-0.043,0.508+/-0.041,0.531+/-0.018
CHEMBL3431930,0.5,0.5,0.0,0.0,0.661+/-0.081,0.696+/-0.004,0.694+/-0.005,0.689+/-0.007,0.68+/-0.024
CHEMBL3431932,0.5,0.49849218413019186,0.0,0.0,0.719+/-0.094,0.747+/-0.03,0.758+/-0.005,0.752+/-0.008,0.738+/-0.019
CHEMBL3431933,0.5,0.5,0.0,0.0,0.501+/-0.033,0.491+/-0.032,0.471+/-0.023,0.468+/-0.013,0.477+/-0.02
CHEMBL3705334,0.5,0.4879740100910239,0.0,0.0,0.623+/-0.026,0.625+/-0.02,0.641+/-0.044,0.694+/-0.164,
CHEMBL3705469,0.5,0.4920812032586027,0.0,0.0,0.525+/-0.045,0.585+/-0.021,0.595+/-0.037,0.608+/-0.091,
CHEMBL3705476,0.5,0.49817823858836585,0.0,0.0,0.517+/-0.082,0.597+/-0.049,0.612+/-0.007,0.613+/-0.009,0.615+/-0.021
CHEMBL3706128,0.392578125,0.3961389455667898,0.0,0.0,0.43+/-0.051,0.417+/-0.049,0.423+/-0.044,0.412+/-0.046,
CHEMBL3706356,0.5,0.4955104028757522,0.0,0.0,0.559+/-0.05,0.543+/-0.039,0.547+/-0.046,0.544+/-0.051,0.537+/-0.055
CHEMBL3707557,0.5,0.5,0.0,0.0,0.642+/-0.095,0.63+/-0.055,0.673+/-0.065,0.668+/-0.138,
CHEMBL3707738,0.498046875,0.4928351601329778,0.0,0.0,0.6+/-0.108,0.645+/-0.046,0.664+/-0.024,0.716+/-0.142,
CHEMBL3707783,0.5,0.5,0.0,0.0,0.736+/-0.01,0.741+/-0.012,0.743+/-0.023,0.753+/-0.049,
CHEMBL3887295,0.5,0.4969951853086967,0.0,0.0,0.521+/-0.031,0.513+/-0.025,0.49+/-0.027,0.496+/-0.04,
CHEMBL3887333,0.5,0.5,0.0,0.0,0.55+/-0.061,0.525+/-0.062,0.551+/-0.043,0.555+/-0.023,0.568+/-0.024
CHEMBL3887334,0.5,0.5,0.0,0.0,0.508+/-0.049,0.516+/-0.031,0.507+/-0.027,0.514+/-0.031,
CHEMBL3887759,0.5,0.4984288811441007,0.0,0.0,0.525+/-0.025,0.519+/-0.029,0.539+/-0.017,0.539+/-0.03,0.545+/-0.021
CHEMBL3888181,0.5,0.4965357092688114,0.0,0.0,0.545+/-0.042,0.544+/-0.031,0.548+/-0.058,0.545+/-0.044,
CHEMBL3888461,0.5,0.49439273006475243,0.0,0.0,0.541+/-0.073,0.55+/-0.065,0.563+/-0.063,0.621+/-0.067,
CHEMBL4005586,0.498046875,0.4964063107335221,0.0,0.0,0.55+/-0.074,0.57+/-0.063,0.589+/-0.024,0.607+/-0.051,
CHEMBL4133035,0.5,0.5,0.0,0.0,0.511+/-0.033,0.506+/-0.035,0.497+/-0.031,0.507+/-0.048,
CHEMBL641707,0.314453125,0.3153262353262353,0.0,0.0,0.378+/-0.05,0.386+/-0.037,0.406+/-0.027,0.46+/-0.103,
CHEMBL657032,0.5,0.4920812032586027,0.0,0.0,0.863+/-0.052,0.88+/-0.012,0.873+/-0.027,0.898+/-0.062,
CHEMBL663407,0.5,0.5,0.0,0.0,0.61+/-0.067,0.631+/-0.051,0.66+/-0.055,0.715+/-0.149,
CHEMBL819742,0.5,0.5,0.0,0.0,0.586+/-0.038,0.598+/-0.024,0.605+/-0.048,0.61+/-0.07,
CHEMBL915809,0.458984375,0.46851511911171495,0.0,0.0,0.83+/-0.017,0.832+/-0.018,0.82+/-0.027,0.839+/-0.041,
CHEMBL924949,0.498046875,0.4925380175380175,0.0,0.0,0.495+/-0.025,0.509+/-0.032,0.516+/-0.053,0.617+/-0.106,
