TASK_ID,16_train,32_train,64_train,128_train,256_train
CHEMBL3705476,-0.008+/-0.063,0.082+/-0.075,0.182+/-0.04,0.229+/-0.047,0.362+/-0.034
CHEMBL3706128,0.111+/-0.123,0.276+/-0.171,0.534+/-0.044,0.597+/-0.075,
CHEMBL3706356,0.114+/-0.121,0.256+/-0.074,0.366+/-0.075,0.557+/-0.05,0.676+/-0.126
CHEMBL3707557,0.09+/-0.232,0.378+/-0.158,0.488+/-0.068,0.516+/-0.457,
CHEMBL3707738,0.033+/-0.056,0.027+/-0.083,0.11+/-0.044,0.099+/-0.192,
CHEMBL3707783,0.579+/-0.108,0.668+/-0.094,0.745+/-0.049,0.777+/-0.042,
CHEMBL3887295,0.035+/-0.05,0.059+/-0.05,0.125+/-0.077,0.195+/-0.051,
CHEMBL3887333,0.282+/-0.089,0.479+/-0.076,0.612+/-0.067,0.714+/-0.039,0.75+/-0.025
CHEMBL3887334,0.059+/-0.097,0.142+/-0.084,0.353+/-0.085,0.524+/-0.062,
CHEMBL3887759,-0.017+/-0.131,0.086+/-0.09,0.159+/-0.063,0.356+/-0.078,0.501+/-0.041
CHEMBL3888181,0.02+/-0.042,0.088+/-0.059,0.162+/-0.078,0.306+/-0.049,
CHEMBL3888461,0.06+/-0.086,0.181+/-0.069,0.206+/-0.053,0.236+/-0.163,
CHEMBL641707,0.234+/-0.14,0.354+/-0.126,0.485+/-0.073,0.674+/-0.121,
CHEMBL657032,0.462+/-0.138,0.624+/-0.124,0.823+/-0.05,0.884+/-0.053,
CHEMBL663407,0.055+/-0.083,0.099+/-0.079,0.296+/-0.112,0.467+/-0.252,
CHEMBL819742,0.617+/-0.083,0.675+/-0.055,0.711+/-0.031,0.754+/-0.099,
CHEMBL924949,0.24+/-0.138,0.483+/-0.069,0.654+/-0.055,0.716+/-0.217,
